StationCode,Station_Longitude,Station_Latitude,SurveySeason
MKR202,-121.4945499,38.09871302,EDSM_20mm
HC202,-121.572632,38.02391364,EDSM_20mm
SPE203,-122.268027,38.05025131,EDSM_20mm
LSR202,-121.7757217,38.0743689,EDSM_20mm
HB202,-121.8923362,38.04491493,EDSM_20mm
SJT202,-121.6312393,38.0925314,EDSM_20mm
RV202,-121.6868668,38.10018477,EDSM_20mm
MI201,-121.5170498,37.98926965,EDSM_20mm
PP202,-121.4972591,38.04413987,EDSM_20mm
LSR201,-121.8066369,38.06114238,EDSM_20mm
RV201,-121.6972559,38.13020419,EDSM_20mm
LSR202,-121.7759089,38.07456005,EDSM_20mm
SBM203,-122.0323662,38.06371209,EDSM_20mm
RV202,-121.6865161,38.09999241,EDSM_20mm
HB202,-121.892336,38.04491493,EDSM_20mm
FT202,-121.6700527,38.03318247,EDSM_20mm
MI202,-121.4766246,37.97986227,EDSM_20mm
SBW201,-122.1119504,38.05254932,EDSM_20mm
MKR203,-121.5021516,38.06230114,EDSM_20mm
SRU203,-121.5537322,38.51285972,EDSM_20mm
LNR201,-122.2969337,38.16044067,EDSM_20mm
LSJ203,-121.697913,38.04308609,EDSM_20mm
MI203,-121.5194025,38.01016161,EDSM_20mm
RS202,-121.5910045,37.97226668,EDSM_20mm
PP203,-121.5685383,38.07738944,EDSM_20mm
VC201,-121.536965,37.84594204,EDSM_20mm
SBM205,-121.977873,38.05697442,EDSM_20mm
FT204,-121.6494018,38.07530644,EDSM_20mm
PP204,-121.5101971,38.05272035,EDSM_20mm
SRR201,-121.5684953,38.19227875,EDSM_20mm
MKR204,-121.5386155,38.1180145,EDSM_20mm
MKR204,-121.53861,38.1183,EDSM_20mm
SBW202,-122.0926598,38.06936333,EDSM_20mm
SM202,-122.0450215,38.1650176,EDSM_20mm
SRU204,-121.5381774,38.47477,EDSM_20mm
LNR202,-122.2811821,38.13228737,EDSM_20mm
SPE204,-122.2845485,38.06139989,EDSM_20mm
HB203,-121.9048487,38.04983657,EDSM_20mm
SRU204,-121.53817,38.47477,EDSM_20mm
CS201,-121.6280076,38.37606952,EDSM_20mm
SBM204,-122.0559303,38.08493536,EDSM_20mm
SPE205,-122.3133434,38.04022605,EDSM_20mm
CQS202,-122.2416368,38.06512015,EDSM_20mm
MKR205,-121.4999,38.09154076,EDSM_20mm
MKR206,-121.50313,38.15416,EDSM_20mm
CS202,-121.6562,38.19631,EDSM_20mm
LSJ204,-121.794,38.01716,EDSM_20mm
SBW203,-122.14078,38.03871,EDSM_20mm
MKR207,-121.56119,38.13773,EDSM_20mm
MI204,-121.52381,37.98242,EDSM_20mm
SJS201,-121.49226,38.03198,EDSM_20mm
SJS202,-121.44997,38.01005,EDSM_20mm
PP205,-121.60232,38.10807,EDSM_20mm
MR202,-121.53105,37.94186,EDSM_20mm
DS202,-121.45069,38.07813,EDSM_20mm
LSR203,-121.82032,38.06543,EDSM_20mm
LSR203,-121.82032,38.06542,EDSM_20mm
RV203,-121.68856,38.15411,EDSM_20mm
MKR208,-121.53178,38.09044,EDSM_20mm
MKR209,-121.50211,38.13632,EDSM_20mm
SRU205,-121.56919,38.30037,EDSM_20mm
CQS203,-122.2244569,38.06149646,EDSM_20mm
SPE206,-122.2887151,38.05172739,EDSM_20mm
SJT203,-121.69105,38.05045,EDSM_20mm
SBW204,-122.064497,38.07897,EDSM_20mm
HC203,-121.57562,38.0429,EDSM_20mm
LSR204,-121.8819238,38.05061737,EDSM_20mm
SBM206,-122.0458786,38.060497,EDSM_20mm
MI205,-121.545847,38.00494,EDSM_20mm
HB204,-121.9654216,38.06770686,EDSM_20mm
PP206,-121.58992,38.09884,EDSM_20mm
LSR205,-121.7991036,38.05138507,EDSM_20mm
VC202,-121.5501,37.86171,EDSM_20mm
GL201,-121.52082,37.81979,EDSM_20mm
LSR205,-121.7991,38.05138,EDSM_20mm
RV204,-121.6969941,38.11929519,EDSM_20mm
SBM207,-122.0227949,38.0952645,EDSM_20mm
FT205,-121.59409,38.04092,EDSM_20mm
RV204,-121.69699,38.11979,EDSM_20mm
OR201,-121.56171,37.94508,EDSM_20mm
FT206,-121.64639,38.08401,EDSM_20mm
PP207,-121.52753,38.05448,EDSM_20mm
SPE207,-122.3223,38.04749,EDSM_20mm
CQS204,-122.15294,38.03526,EDSM_20mm
CQS205,-122.16974,38.04178,EDSM_20mm
SJT204,-121.60694,38.10717,EDSM_20mm
DS203,-121.46375,38.05162,EDSM_20mm
CS203,-121.71894,38.28516,EDSM_20mm
MI206,-121.4483,37.95014,EDSM_20mm
HB205,-121.93103,38.04923,EDSM_20mm
LSR206,-121.74253,38.08625,EDSM_20mm
HB206,-121.95148,38.07166,EDSM_20mm
LSJ205,-121.77901,38.01977,EDSM_20mm
MKR210,-121.56594,38.13188,EDSM_20mm
SRU206,-121.51428,38.43473,EDSM_20mm
SBM208,-121.99324,38.08429,EDSM_20mm
SRU207,-121.51103,38.54663,EDSM_20mm
SBM208,-122.06331,38.09463,EDSM_20mm
MKR212,-121.49276,38.10252,EDSM_20mm
SBM209,-121.99324,38.08429,EDSM_20mm
CS204,-121.66148,38.18408,EDSM_20mm
